Project Website,Lead Signal Date,Investment Announcement Date,Project Description (100 words),Investment Stage,Lead Time,Lead Time (Months),Round Investment Amount ($M),Total Money Raised ($M),Latest Round Co-Investors,Previous Round Investors
peggy.com,10/10/2022,02/07/2023,"Peggy is the social marketplace connecting art enthusiasts and creators, offering a new way forward for the art world.",Seed,120,4,8,8,"Z Venture Capital, Tinie Tempah, Real Ventures, Portage Ventures, Nomad Capital, Karman Ventures, Garage Capital, David Marcus, Bob Harding","Satish Kanwar, Real Ventures, Mistral Venture Partners, Mike Murchison, Michael Katchen, Jody Mulkey, Ian Logan, Guillaume Laliberte, David Zhang, David Hariri, Arati Sharma, Andrew Chau"
https://www.lurahealth.com/,08/25/2023,12/18/2023,"Lura Health is an innovative health technology company, pioneering in the development of the world's first wearable sensor for salivary diagnostics. Their cutting-edge product, still in development and not yet approved for sale in the USA, is designed to revolutionize preventative healthcare by enabling continuous health monitoring through saliva analysis. Embedded in traditional orthodontic appliances, these sensors can track various health conditions and communicate data in real-time to smartphones, offering a new avenue for managing chronic diseases, preventing health emergencies, and achieving health goals. Lura Health is at the forefront of integrating dental and general health monitoring, enhancing healthcare accessibility and efficiency.",Seed,115,4,2.5,2.5,"SOSV, HAX","MassChallenge, National Science Foundation, SOSV, HAX"
veratrak.com/,10/16/2022,02/01/2023,Veratrak streamlines supply chain operations and enhances data integration through an enterprise SaaS platform designed for the pharmaceutical and life sciences industry.,Seed,108,4,6.7,8.2,Crane Venture Partners,Plug and Play
www.hyfefoods.com/,03/06/2023,06/22/2023,"Hyfé pioneers the biomanufacturing revolution by harnessing nutrients within food manufacturing wastewater to produce sustainable chemicals, materials, fuels, and foods, addressing the impending shortfall in bioeconomy glucose demands. As champions of transforming waste into valuable resources, Hyfé offers lower operational costs for food manufacturers, affordable inputs for biomanufacturers, and superior products for the planet. Led by a diverse team of experts including CEO Michelle Ruiz, CTO Andrea Schoen, Director of Business Development Corey Patz, and Associate Director of R&D Jason Shnipes, Hyfé is propelled by its mission to innovate. Backed by prominent investors and fostering rapid growth, Hyfé invites passionate individuals to join its journey towards a greener future.",Seed,108,4,9,11,"XFactor Ventures, The Engine, Synthesis Capital, Supply Change Capital, Refactor Capital, Overwater Ventures, Alumni Ventures","The Engine, Supply Change Capital, Lifely VC LogoLifely VC, HackCapital, Gaingels, Caffeinated Capital, Blue Horizon Corporation"
"www.worldover.io",05/25/2023,09/05/2023,"Worldover simplifies cosmetics compliance through its all-in-one automation platform for brands, manufacturers, suppliers, and distributors, powered by AI and automation. Offering comprehensive global coverage with 1000+ regulations and 30,000 ingredients, Worldover facilitates compliance with standards like COSMOS, Organic, and more. The platform features tools such as Formulation Designer, Compliance Workflow, and Team Collaboration to streamline processes, ensuring easy adherence to regulatory requirements. Testimonials highlight the platform's efficacy, emphasizing its ability to navigate diverse market rules seamlessly. Worldover aims to be the ultimate compliance assistant, providing flexibility, cost savings, and time efficiency in managing raw materials, formulations, and regulatory documentation for the cosmetics industry.",Seed,103,4,3.8,3.8,"Plug and Play, Mandeep Singh, Index Ventures, Entrepreneur First, Chalfen Ventures",-
www.datalogz.io,11/22/2022,02/28/2023,"Datalogz is a company dedicated to ending Business Intelligence sprawl by providing a robust metadata pipeline and tools to improve data management, reduce costs, and enhance trust in data reporting.",Seed,98,4,2.1,7.1,"Trajectory Ventures, Squadra Ventures, Mana Ventures, Berkeley SkyDeck Fund",-
https://colonia.tech/,03/20/2023,06/26/2023,"Colonia redefines commercial vehicle rental with its streamlined online platform, offering tractors, semi-trailers, and trucks directly to businesses. With a vast selection and paperless processes, Colonia facilitates swift transactions, ensuring vehicles are available within 24 hours, complete with insurance and 24/7 roadside assistance. Customers applaud Colonia's reliability, flexibility, and fair pricing, citing smooth experiences and excellent service. Trusted by industry leaders and boasting a 4.3 Trustpilot rating, Colonia stands as a beacon of efficiency and customer satisfaction. Committed to sustainability, Colonia advances sharing models for commercial vehicles, epitomizing modern logistics solutions for the 21st century while providing prompt assistance, even in crisis situations like supporting transport to Ukraine.",Seed,98,4,6.5,6.5,"vent.io, Plug and Play, Octopus Ventures, MobilityFund, Hoyer, Grover, FlixBus, Atlantic Labs",Hoyer
metaplane.dev,10/10/2022,01/10/2023,"Metaplane is an end-to-end data observability platform for teams of all sizes, offering automated incident detection, impact analysis, root cause diagnosis, and data quality monitoring.",Seed,92,3,8.4,8.4,"Y Combinator, Khosla Ventures, Kevin Mahaffey, GuillermoRauch, Flybrudge, Dharmesh Shah","Thomson Nguyen, Kevin Mahaffey, Frederic Kerrest, Flybidge, Fahd Ananta, Elias Torres, Dharmesh Shah, Alex MacCaw"
https://getfleek.app/,03/16/2023,06/13/2023,"Fleek revolutionizes subscription management, offering a centralized platform to discover, track, and manage all subscriptions with unbeatable discounts. Seamlessly integrate subscriptions like Amazon Prime Video, SonyLiv, and Cultfit while earning exclusive FleekCoin rewards for additional savings. With auto-detection and hassle-free auto-renewal features, Fleek ensures you never miss a payment or overpay for unused subscriptions. Track your subscriptions effortlessly with regular updates and share seamlessly with friends and family. Backed by investors and recent seed funding, Fleek emerges as the go-to solution for subscription management, empowering users to save money and streamline their digital subscriptions effortlessly. Join the Fleek Revolution today!",Seed,89,3,2,3,"Sprint Vc, SOSV, Orbit Startups","Titan Capital, Shrishti Sahu, RTP Global, Ramakant Sharma, PitchRight Venture, Axilor Ventures, Unicorns Accelerator Fund, "
hoopcarpool.com,03/16/2023,06/11/2023,"Hoop Carpool is the premier corporate carpooling solution, revolutionizing mobility for companies, universities, and municipalities. With over 50 trusted entities, we optimize talent retention, attract top prospects, and elevate organizational mobility seamlessly. Our tailored approach fosters cost-saving travel solutions, parking optimization, and emissions reduction, all without infrastructure investment. Through intuitive technology and customized incentives, we facilitate effortless habit change, enhancing user experience and promoting sustainable practices. From identity verification to seamless payment platforms, we prioritize safety and convenience. Join us in transforming communities worldwide, one shared ride at a time. Experience workplace happiness and efficiency with Hoop Carpool, where change begins.",Seed,87,3,1.3,1.3,"Ship2B Ventures, Rumbo Ventures, Nacho Alonso Cembrano, Marc Ferran, Lanai Partners, Juanjo Mostazo, Foreign Education Investment Bank, Delfí Torns, David Tomás, Carles Florensa Torné, Banco Sabadell, AXIS, 4Founders Capital","Newchip Accelerator, Epsilon Venture Partners, Conector Startup Accelerator"
www.qvbio.co.uk,10/16/2022,01/10/2023,"QV Bioelectronics is dedicated to developing innovative electric field therapy for brain tumor patients, with a focus on improving the lives of glioblastoma patients.",Seed,86,3,2.5,5.1,"The Fink Family Office, SOSV, Science Angel Syndicate, Northern Gritstone, Elbow Beach Capital, Catapult Ventures",SOSV
https://www.fortunahealth.com/,08/21/2023,11/15/2023,"Fortuna Health simplifies Medicaid processes, offering a fast, user-friendly, and digital platform available in multiple languages. Eligibility screening takes just 90 seconds, while enrollment and plan management require only a 5-minute commitment. Users can easily understand their plans, receive updates, and navigate life changes, from job loss to reentry from jail. Fortuna ensures a hassle-free Medicaid experience, guiding users through general eligibility and specific situations like pregnancy or disability. With a comprehensive approach, Fortuna eliminates administrative complexities, making Medicaid accessible to all while providing support and resources for a seamless healthcare journey.",Seed,86,3,4,4,"Y Combinator, BoxGroup, Andreessen Horowitz",-
https://www.tem.energy/,03/19/2023,06/12/2023,"TEM is reshaping business energy with transparency, traceability, and direct transactions. Their platform offers actionable insights and streamlined billing, eliminating greenwashing and providing effortless service. Accessing superhuman service and pricing, typically reserved for the elite 1%, TEM democratizes energy management. With a focus on renewable sources, TEM empowers businesses like food manufacturers, schools, recycling industries, breweries, and renewable energy generators to cut costs and reduce their environmental footprint. Through real-time pricing and intuitive management, TEM propels businesses towards a greener future while optimizing their energy expenditure. Join TEM today for a sustainable, efficient energy transition that benefits both businesses and the planet.",Seed,85,3,3.1,3.2,"Revent, Christian Deger, AlbionVC",Right Side Capital Management
"zparq.se
",03/11/2023,05/30/2023,"Zparq pioneers marine propulsion with its revolutionary technology, challenging conventional limits. Their patented motors boast exceptional power-to-size ratios, offering a compact, lightweight solution with high efficiency and minimal maintenance. Versatile across leisure, subsea, and commercial sectors, Zparq's scalable, modular design fills gaps in high-performance electric propulsion. Committed to sustainability, Zparq drives the shift from fossil fuels to electric power, ensuring zero emissions and innovative business models. With a dedicated team of innovators and a string of successes, including prestigious awards and rigorous testing, Zparq stands at the forefront of marine propulsion evolution, poised to transform the industry sustainably.",Seed,80,3,2.7,2.7,"Santander, EIT InnoEnergy, Almi Invest GreenTech",-
www.riverse.io,03/16/2023,06/01/2023,"Riverse drives the shift towards circularity and sustainability in industries by certifying industrial greentech projects on carbon markets. Dedicated to decarbonizing technologies, Riverse expedites their expansion through a unique carbon credit standard and innovative tech products. Greentech projects, spanning low-carbon energies, recycling, and carbon dioxide removal, are certified under Riverse's standard and verified by independent third parties. These certified credits can be acquired by companies committed to climate action through affiliated third-party resellers or directly from projects. Riverse ensures transparency and accountability by retiring credits in its registry, preventing double claims on sustainability efforts. By fostering collaboration and innovation, Riverse propels industries towards a greener future.",Seed,77,3,1.6,1.6,"Tobias Lechtenfeld, Techstars, Stephan Rohr, Speedinvest, Evolem Start, Eric Bergé, Andreas Wiele",Techstars
www.automotus.co,12/22/2022,03/08/2023,"Automotus is a company specializing in automated curb management solutions to reduce emissions, congestion, and safety hazards, aiming to create safer, more sustainable streets in communities.",Seed,76,3,7.8,18.6,"Unbridled, SUM Ventures Srl, Startup Mavericks, Quake Capital Partners, Next Century Ventures, New York Angels, Los Angeles Cleantech Incubator, Keiki Capital, IrishAngels, CityRock Venture Partners, Bridge Investments",-
https://cultmia.com/,08/26/2023,11/10/2023,"CULT MIA stands as a beacon of sustainable fashion, offering a curated selection of made-to-order items with up to 30% off during their Cyber Week sale. As the recipient of the Drapers Independent Pure Player Award 2023, CULT MIA combines style and conscience. Beyond the chic apparel, the brand embraces a values-driven shopping experience, donating £2 from every order to charities aligned with their four causes: Cult Eco, Cult Conscious, Cult Power, or Cult Local. From winter wardrobe essentials to holiday party dresses, CULT MIA ensures a conscious celebration, complemented by a book club, insightful blog posts, and carbon-neutral shipping. With a commitment to removing shipping emissions and providing an exclusive, well-vetted shopping experience, CULT MIA redefines fashion as a sustainable journey.",Seed,76,3,3,3,"WomanKind Ventures, Inclusive Ventures Lav, David Werthheimer",Inclusive Ventures Lab
www.carbonade.co/,03/16/2023,05/30/2023,"Carbonade is a pioneering force in sustainable solutions, offering a single-step electrochemical process that revolutionizes air-to-carbon products. Tackling hard-to-abate sectors like aviation and heavy industries, Carbonade's mission aligns with climate consciousness by enhancing energy efficiency and reducing greenhouse gas emissions. Their innovative technology boasts a remarkable 44% efficiency boost, providing zero-emission procedures at a 40% cost reduction compared to conventional methods. With a dedicated team led by experienced leaders and a commitment to collaboration, Carbonade spearheads the transition to greener fuel alternatives, envisioning a future where sustainable aviation fuels become the norm, shaping a more sustainable world for generations to come.",Seed,75,3,-,-,"SOSV, IndieBio",-
"www.meetalix.com",07/03/2023,09/12/2023,"Alix is a pioneering company dedicated to simplifying and enhancing estate settlements through powerful technology and a compassionate, market-leading team of experts. With a mission to alleviate the burdens associated with estate settlement, Alix utilizes AI-powered solutions to guide individuals and families through every aspect of the process. Offering a free consultation, Alix positions itself as a reliable partner in making settlements simpler and smarter. The company's commitment to providing peace of mind is reflected in the support offered by their Care Team. Backed by notable investors, Alix is poised to transform the estate settlement landscape with its innovative and empathetic approach.",Seed,71,3,5.5,5.5,"Scribble Venture, Magnify Ventures, Initialized Capital, American Family Ventures, Alumni Ventures",-
www.moonhub.ai,11/03/2022,10/11/2023,"Moonhub, your AI-powered recruiter, is redefining the hiring landscape with its innovative approach. Offering rapid, efficient hiring in under 5 minutes and saving over 100 hours on top-tier talent acquisition, Moonhub is the go-to solution for startups and growing businesses. Their cutting-edge AI technology, free from complex booleans, analyzes market data and formulates the optimal recruitment strategy in real time using natural language, all while delivering a diverse pool of exceptional candidates. For those pressed for time, Moonhub Experts utilize advanced AI to source, screen, and manage the hiring process, all at a reduced success fee. Trusted by industry leaders, Moonhub's impact on recruitment is profound, connecting companies with the best talent swiftly and effortlessly.",Seed (1st),342,12,10,23.8,"Time Ventures, Susan Mojcicki, Mike Volpi, Google Ventures, Day One Ventures","Susan Wojcicki, Ram Shiram, Nimo Rotem, Mike Volpi, Khosla Ventures, Google Ventures, Day One Ventures, Christopher Re, AIX Ventures"
www.moonhub.ai,11/03/2022,02/07/2023,"Moonhub is an AI-powered recruiter that revolutionizes the hiring process by providing expert recruiters supercharged with AI capabilities, enabling companies to hire top talent efficiently.",Seed (2nd),96,3,4.4,23.8,"Susan Wojcicki, Ram Shriram, Nimo Rotem, Mike Volpi, Khosla Ventures, Google Ventures, Day One Ventures, Christopher Re, AIX Ventures",-
www.moonhub.ai,11/03/2022,07/24/2023,"Moonhub is an AI-powered recruiter that revolutionizes the hiring process by providing expert recruiters supercharged with AI capabilities, enabling companies to hire top talent efficiently.",Seed (3rd),263,9,9.4,23.8,-,-
https://www.ridepanda.com/,05/31/2023,11/09/2023,Leading provider of employer-sponsored micro-mobility solutions.,Seed Round,162,6,7.5,11.3,"Proeza Ventures, Somersault Ventures, Porsche Ventures, Oyster Ventures, General Catalyst, Blackhorn Ventures",Urban Us Capital
https://fiatrepublic.com/,10/9/2022,12/19/2023,"Fiat Republic is a revolutionary company at the forefront of Web3, dedicated to simplifying fiat access for digital disruptors. With their community-focused approach, they provide access to a growing array of fiat rails through a single API, trusted by major crypto platforms and backed by prestigious investors like SpeedInvest, Seedcamp, Credo, and SoftBank. Fiat Republic's developer-first API empowers businesses to integrate local IBANs, fiat rails like SEPA and Faster Payments, and real-time FX in a matter of days, eliminating the hassle of complex banking partnerships. Their extensive API documentation and sandbox access make innovation easy, while their commitment to compliance ensures a smooth journey for crypto enthusiasts and businesses alike. Join the Fiat Republic Consortium, and let them support your success with their diverse team of experts.",Seed Round,436,16,7,13,"Speedinvest, Pretiosum Ventures, Kraken Ventures, Inovo VC, Fabric Ventures, Credo Ventures, Arca","SoftBank Vision Fund, Notion Capital, Expedition Fund, Credo Ventures, Connect Ventures"
https://www.rightbot.com/,02/10/2023,12/05/2023,"Rightbot is a cutting-edge company specializing in Autonomous Trailer/Container Unloading solutions. With a focus on relieving warehouse workers from repetitive and physically demanding tasks, Rightbot ensures that robots, not humans, handle the unloading of floor-loaded containers at a staggering rate of over 1000 unloads per hour. Their user-friendly, plug-and-play system offers a 2x faster return on investment, making it an attractive option for businesses looking to optimize their operations. Comprising a team of seasoned entrepreneurs, engineers, and researchers boasting over 25 years of industry experience, Rightbot is committed to shaping a brighter future for the logistics and warehouse sector. Connect with them at team@rightbot.com for inquiries. © 2023, Rightbot. All rights reserved. Privacy Policy and Terms of Use apply.",Seed Round,298,11,-,6.8,"Morphosis Venture Capital, Flipkart Ventures, Entrepreneur First, Amazon Industrial Innovation Fund",Flipkart Ventures
https://doorfeed.com/,6/4/2023,11/23/2023,"DoorFeed is a revolutionary platform tailored for institutional investors seeking to expand their residential real estate portfolios rapidly and efficiently. Fueled by artificial intelligence and a team of property experts, DoorFeed aggregates residential properties into large, income-generating portfolios, offering attractive pricing and prime locations. Their unique approach provides access to the Single-Family Rental market, bypassing the costly and time-consuming traditional methods of capital deployment. DoorFeed's technology enables lightning-fast evaluation of property listings, ensuring investors secure the best deals swiftly. With a significant presence in 50 cities, they possess the operational infrastructure to build high-performance portfolios and underwrite deals with unparalleled precision. From deal sourcing and underwriting to asset transformation and management, DoorFeed streamlines the investment process, enabling investors to accelerate their strategies in the residential real estate market across Europe.",Seed Round,172,6,7.6,13,"Stride.VC, Motive Ventures",BPI France
https://claim.co/,7/17/2023,12/20/2023,"Claim is an innovative company that offers users the opportunity to discover their new favorite things, earn cashback, and share benefits with friends. With a user-friendly app interface, Claim helps individuals find new brands they'll love and provides authentic recommendations from friends based on their actual purchases. Users can also earn cashback and rewards on various purchases, from coffees to workout classes, and even hoodies. What sets Claim apart is its commitment to security and privacy, ensuring that personal information is never sold, and industry-leading technology keeps data secure. Backed by prestigious investors and loved by users, Claim is a trusted platform for discovering and sharing great deals.",Seed Round,156,6,4,6,"The Kratft Group, Theia Ventures, Susa Ventures, Reflexive Capital, Luke deWilde, GSW Sports Ventures, BoxGroup, A-Star, 6th Man Ventures","Susa Ventures, Box Group"
lumalabs.ai,10/10/2022,03/20/2023,Providing language models for creativity.,Series A,161,6,20,68.5,"South Park Commons, NVIDIA, Matrix, General Catalyst, Andreas Klinger, Amplify Partners","South Park Commons, Matrix, Context Ventures, Andreas Klinger, Amplify Partners"
bedrockocean.com,03/10/2023,07/12/2023,Revolutionizing marine surveys with rapid autonomous capabilities.,Series A,124,4,25.5,33.5,"Valor Equity Partners, R7 Partners, Quiet Capital, Primary Venture Partners, Northzone, Eniac Ventures","R7 Partners, Quiet Capital, Primary Venture Partners, Kyle Vogt, Eniac Ventures"
selectstar.com/,10/09/2022,01/31/2023,Streamlining data discovery and cataloging for improved governance.,Series A,114,4,15,17.5,"Sozo Ventures, Pebblebed, Lightspeed Ventures Partners, Bowery Capital","TLC Collective, Spencer Kimball, Scott Belsky, Ryan Denehy, Nick Caldwell, Michael Li, Jeremy Yap, Data Tech Fund, Bowery Capital, Background Capital  "
www.siro.ai,07/13/2023,10/25/2023,"AI coaching platform for field sales teams, improving sales performance.",Series A,104,4,14,18,"Index Ventures, Fika Ventures, CRV, Steve King, Ryan Davis, Justin Etzin, Des Traynor, David Campbell, Cailen D'Sa","Index Ventures, Fika Ventures"
cleanlab.ai/,06/09/2023,10/10/2023,Providing data curation and quality enhancement solution for analytics and ML.,Series A,123,4,25,30,"TQ Ventures, Menlo Ventures, Databricks Ventures, Bain Capital Ventures",Bain Capital Ventures
https://treehouse.pro/,03/20/2023,08/09/2023,Transforming EV charging experience with tailored home solutions.,Series A,142,5,10,10,"Virta Ventures, Trucks Venture Capital, Montage Ventures, Invest Detroit, Holman Growth Ventures, Gutter Capital, Detroit Venture Partners, CarMax, Automotive Ventures, Assurant Ventures, Alumni Ventures, Acrew Capital","Montage Partners, Gutter Capital, Great Oaks Venture Capital, Expansion Venture Capital, Detroit Venture Partners, Canaan Partners, Beat Ventures, Acrew Capital"
https://www.privy.io/,10/15/2022,11/21/2023,"Privy is revolutionizing web3 by simplifying user onboarding with a single library that integrates seamless authentication flows and powerful embedded wallets into any app. Trusted by exciting web3 projects, Privy bridges the gap between web2 and web3, offering the convenience of email and social sign-ins to boost conversion rates and expand user reach. With self-custodied wallets, reliable connectors, and adaptable accounts, Privy ensures a secure and user-centric experience. Its swift setup, scalability, and customizable features empower developers to focus on their product. Privy's unwavering commitment to enterprise-grade security and compliance is backed by audits and support from industry leaders like Paradigm.",Series A,402,14,18,26.3,"Paradigm, BlueYard Capital, Archetype","BlueYard Capital, Archetype"
https://oxide.computer/,10/16/2022,10/26/2023,"Oxide Cloud Computer revolutionizes cloud infrastructure with a cable-free, assembly-free approach, seamlessly integrating vertically designed hardware and software. Offering instant IT transformation, the platform accelerates developer velocity and ensures per-tenant isolation for efficient networking. Occupying two-thirds less space than traditional setups, Oxide maximizes power and space efficiency. Developer-friendly tooling, end-to-end networking observability, and transparency in capacity management enhance operational control. Prioritizing security, Oxide employs innovative features like First Instruction Integrity and secure secret storage. The result is a paradigm-shifting, secure, and efficient cloud solution for mainstream enterprises.",Series A,375,13,44,94,"Strike Capital, Riot Ventures, Rally Ventures, Eclipse Ventures, Counterpart Ventures",Eclipse Ventures
https://www.mojo.vision/,10/15/2022,10/12/2023,"Mojo Vision leads the frontier in Micro-LED technology, boasting the world's smallest and densest dynamic display. Pioneering advancements since 2015, their skilled team achieved a breakthrough by fitting this micro-LED display into a contact lens. Now focused on commercialization, Mojo employs cutting-edge semiconductor technology to disrupt the $160B+ display industry. Micro-LEDs, uniquely positioned for AR/VR, are set to revolutionize existing products and drive innovation in smart wearables. With high resolution, vibrant colors, and low power consumption, Mojo Vision's proprietary micro-LEDs redefine display quality, marking a transformative leap in the evolution of visual technology.",Series A,362,13,43.5,269.9,"Vanedge Capital, Shanda Group, Open Field Capital, New Enterprise Associates, Liberty Global Ventures, Knollwood Investment Advisory, Khosla Ventures, Fusion Fund, Drew Perkins, Dolby Family Ventures, Advantech Capital","Open Field Capital, New Enterprise Associates, Liberty Global Ventures, Khosla Ventures, Fusion Fund, Edge VC, Drew Perkins, Dolby Family Ventures, Global Brain Corporation, PTC, Motorola Solutions Venture Capital, HiJoJo Partners, AME Cloud Ventures, Amazon Alexa Fund, TDK Ventures, VU Venture Partners, Struck Capital, Sand Hill Angels, Numbase Group, Motorola Solutions Venture Capital, KDDI Open Innovation Fund, Intellectus Partners, InFocus Capital Partners, Helios Capital, Gradient Ventures, Chang Corporation, StartX (Stanford-StartX Fund), LG Electronics, Kakao Ventures, P Tech Ventures, Bold Capital Partners, Shanda Group, 8VC, Bill Baumel"
www.regentcraft.com,10/09/2022,10/05/2023,"Coastal Travel is revolutionizing coastal transportation with SEAGLIDER, an all-electric, passenger-carrying wing-in-ground-effect vehicle. This innovative mode of travel offers zero-emission, low-altitude journeys, covering 180 miles at 180 mph, utilizing existing dock infrastructure. Boasting 467 units sold and a $7.9 billion order backlog, it caters to global aviation and ferry customers. SEAGLIDER promises cost savings, increased speed, and zero emissions. Coastal Travel's team of aerospace and naval engineers leads the charge, ensuring safe, high-speed, and eco-friendly regional transportation. Subscribe for REGENT updates and explore their privacy policy, cookie policy, and FAQ for more information.",Series A,361,13,60,87,"Founders Fund, 8090 Industries, Yamato Holdings, Strategic Development Fund, Point72 Ventures, Mark Cuban, Lockheed Martin, Karman Ventures, Japan Airlines Innovation Fund, Future Planet Capital, Caffeinated Capital","Lockheed Martin Ventures, Global Brain Corporation"
stoik.io,10/09/2022,09/19/2023,"Stoïk is a specialized insurance provider focused on cyber risk, catering to a network of over 1,500 broker partners. They offer a comprehensive approach to cyber risk management, encompassing prevention, continuous monitoring, and incident coverage. Stoïk's cyber insurance policy is user-friendly, offering clear and extensive coverage. Their unique selling point lies in Stoïk Protect, a proactive and ongoing cyber risk monitoring service that operates during underwriting and throughout the policy's term. Stoïk also provides a tailor-made Broker Platform to empower their partners, aiding in contract management and enhancing advisory capabilities. Their innovative cyber insurance product, Stoïk, simplifies underwriting while delivering substantial value to clients. Additionally, Stoïk boasts an in-house incident response team, CERT-Stoïk, available 24/7 with an impressive response time of under 3 minutes, ensuring fast recovery from cyber incidents. Stoïk is transforming the cyber insurance landscape with its straightforward approach and expert support.",Series A,345,12,10.8,26.9,"Munich Re Ventures, Opera Tech Ventures, Andreessen Horowitz, Alven","The Delta, Henri de Castries, Anthemis Group, Andreessen Horowit, Alven"
www.carmoola.co.uk,2/8/2023,1/16/2024,"Carmoola transforms car finance with lightning-fast approval in under 10 minutes and rates starting from 6.9% APR. Featured in top publications, their 100% online application ensures a hassle-free experience with no sales calls. With eligibility checks for UK residents aged 18-75, Carmoola offers financing from £2K to £40K for used cars. Apple Pay integration and a dedicated blog for car buying tips enhance user convenience. Carmoola also provides refinancing options for potential savings. The app is available on Google Play and the App Store, reflecting their commitment to responsible lending.",Series A,342,12,19.5,218.4,"VentureFriends, u.ventures, QED Investors, AlleyCorp","VentureFriends, QED Investors, NatWest Bank, InMotion Ventures, BCI"
"www.recurrentauto.com",2/10/2023,01/16/2024,"Recurrent enables users to buy, drive, and sell electric cars with confidence, backed by EV battery reports powered by 15,000 active vehicles. By checking an EV by VIN, users can access comprehensive reports on battery health, ensuring transparency and peace of mind. Automated battery monitoring empowers EV owners to monitor their battery's performance, while browsing offers from EV specialists facilitates hassle-free selling. Recurrent's platform addresses concerns surrounding EV battery degradation, providing crucial insights into factors impacting battery health. With a mission to foster trust and transparency in the EV market, Recurrent offers valuable resources and services for buyers, owners, and sellers alike.",Series A,340,12,16,24.3,"Wireframe Ventures, Pioneer Square Labs, Goodyear Ventures, Automotive Ventures, ArcTern Ventures","Wireframe Ventures, Vulcan Capital, PSL Ventures, Prelude Ventures, Powerhouse Ventures, MAP Investco, Hearst Ventures, Goodyear Ventures, EnerTech Capital, E8 Angels, Circumference Group, Avesta Fund, Automotive Ventures, Ascend, AAA Washington, National Science Foundation, PSL Ventures,  Prelude Ventures, Powerhouse Ventures, Ascend"
www.lightshiprv.com,3/2/2023,01/17/2024,"Lightship pioneers the transition of road trips into the electric era with its innovative electric travel trailers. The aero electric L1 model embodies this vision, featuring integrated solar power, all-electric components, spacious interiors, and seamless transition from Camp Mode to Road Mode. With a commitment to sustainability and outdoor exploration, Lightship empowers travelers to embark on eco-friendly adventures while connecting with nature and each other. By offering accessible and exhilarating travel experiences, whether in remote National Forests or beloved local campsites, Lightship is redefining the future of travel, where preservation and exploration go hand in hand.",Series A,321,11,34,61.2,"Thor Industries, TechNexus Venture Collaborative, Prelude Ventures, Obvious Ventures, HyperGuap, 
Congruent Ventures, Climate Tech Circle, Alumni Ventures, Allegis Capital","Prelude Ventures, Obvious Ventures, MCJ Collective, Jetstream, HyperGuap, Congruent Ventures, Alumni Ventures, Climate Capital, Climactic VC, Jason Roper"
catchandrelease.com,10/16/2022,08/08/2023,"Catch+Release is a dynamic platform revolutionizing visual content acquisition, offering a swift and straightforward approach to licensing high-quality shots that outshine original productions, consistently exceeding performance expectations. With a focus on injecting a breath of humanity into your audience's experience, Catch+Release introduces valuable features for curating and licensing creative content. The platform ensures legal compliance, allowing users to take creative risks without legal concerns. Aiming to inspire, Catch+Release provides access to a vast array of photos and videos curated by real people, fostering a Creator Community where engaging content is discovered, shared, and rewarded. The platform's success is echoed in glowing reviews, as it goes beyond stock footage, delivering unparalleled quality and versatility to elevate marketing campaigns.",Series A,296,11,8.8,31.3,"Stagwell, Rich Kleiman, Nick Mehta, HarbourVest Partners, Cervin Ventures, Astia, Accel, 35V","Cervin Ventures, Accel, Farvatn Venture, SVA, MDC Ventures, Gokul Rajaram, Array Ventures"
https://paintjet.com/,03/17/2023,12/20/2023,"PaintJet is reshaping the landscape of commercial painting, heralding a new era in infrastructure aesthetics. Leveraging cutting-edge robotics and AI, PaintJet delivers unparalleled precision, minimizing overspray and predicting maintenance cycles. From new construction painting to specialty coatings and maintenance, PaintJet integrates technology throughout the process, ensuring superior quality, efficiency, and asset protection. The advanced technology facilitates rapid completion of large-scale projects, setting a new standard in the industry. Drones inspect facilities, robots perform surface preparation and painting with remote control, and coatings are optimized for robotic application. Real-time data capture informs project progress, providing insights for long-term durability. PaintJet's nationwide reach offers instant quotes and guarantees unmatched painting quality and application efficiencies, transforming infrastructure painting into a seamless, innovative experience.",Series A,278,10,10,13.5,"VSC Ventures, Pathbreaker Ventures, Outsiders Fund, MetaProp, Dynamo, 53 Stations","Pathbreaker Ventures, MetaProp, Dynamo, Builders VC"
http://www.ionomr.com/,3/7/2023,12/05/2023,"Ionomr is a pioneering company known for its revolutionary ion exchange membrane technology. They have developed cutting-edge solutions that significantly enhance efficiency, performance, and cost-effectiveness while minimizing environmental impact. Their breakthrough technology is utilized in various applications, including hydrogen generation for the hydrogen economy, hydrogen fuel cells for transportation and energy, CO2 conversion into synthetic fuels, and on-site recovery of chemicals for heavy industries. Ionomr's high-performance ion exchange membranes and polymers drive the renewable energy economy, enabling cleaner and more efficient technology solutions that reduce costs, increase efficiency, and promote sustainability. They play a pivotal role in advancing the hydrogen economy, offering cost-competitive solutions for carbon-free transport and sustainable energy production.",Series A,273,10,20,45.3,"Samsung Ventures, SAIC Capital, Pallasite Ventures, Natural Gas Innovation Fund, Finindus, Chevron Technology Ventures, Bekaert, Asahi Kasei","Pallasite Ventures, Natural Gas Innovation, Finindus, Chevron Technology Ventures"
